,Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL,Suburb
52,,"14 Serenade Street, Donnybrook",,3,2,1,,,Mandeep Sekhon,https://www.realestate.com.au/property-house-vic-donnybrook-146555804,Donnybrook
53,"$580,000 - $630,000","33 Sunnybrae Drive, Mernda",,4,2,2,Inspection tomorrow 5:00 pm,389m²,Chloe Topouzis,https://www.realestate.com.au/property-house-vic-mernda-146914076,Mernda
54,"$550,000 - $570,000","3 Mitford Crescent, Craigieburn",,3,2,2,,676m²,Nick Fernandez,https://www.realestate.com.au/property-house-vic-craigieburn-146895188,Craigieburn
55,"$550,000 - $570,000","Address available on request, Donnybrook",,3,2,1,,,Sunil Gandham,https://www.realestate.com.au/property-house-vic-donnybrook-143611648,Donnybrook
56,"$620,000 - $680,000","103 Arnaud Loop, Wollert",,4,2,2,Inspection Sat 25 Jan 1:30 pm,375m²,Abraham Solomon,https://www.realestate.com.au/property-house-vic-wollert-146913332,Wollert
57,"$570,000 - $610,000","12  Bunting Crescent, Kalkallo",,4,2,2,Inspection tomorrow 6:10 pm,,Domenic Campisi,https://www.realestate.com.au/property-house-vic-kalkallo-146913204,Kalkallo
58,"ESR:$560,000 - $610,000","16 Etherington Drive, Mernda",,3,2,1,Inspection Sat 25 Jan 1:15 pm,,Phil Di Battista,https://www.realestate.com.au/property-house-vic-mernda-146954912,Mernda
59,"ESR: $490,000 - $530,000","17 Tooten Road, Wollert",,3,2,1,Inspection Sat 25 Jan 11:00 am,,Phil Di Battista,https://www.realestate.com.au/property-house-vic-wollert-147027000,Wollert
60,"$620,000-$650,000","19 Malmsbury Drive, Meadow Heights",,4,2,1,Inspection tomorrow 6:00 pm,537m²,Amin Halabi,https://www.realestate.com.au/property-house-vic-meadow+heights-146911940,Meadow Heights
61,"$500,000 - $550,000","10 Laurina Street, Kalkallo",,3,2,2,,213m²,Hayden Assaad,https://www.realestate.com.au/property-house-vic-kalkallo-146911848,Kalkallo
62,,"7 Mealie Avenue, Mickleham",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-mickleham-146550144,Mickleham
63,,"44 Cottonwood Drive, Wollert",,4,2,1,,,Om Minhas,https://www.realestate.com.au/property-house-vic-wollert-145844976,Wollert
64,"$600,000 - $660,000","23 Laxdale Grove, Mickleham",,4,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-146244376,Mickleham
65,$600k - $660k,"7 Gervase Avenue, Glenroy",,3,2,2,,215m²,Claudio Cuomo,https://www.realestate.com.au/property-house-vic-glenroy-147024052,Glenroy
66,,"Address available on request, Donnybrook",,4,2,2,,,Manu Kumar,https://www.realestate.com.au/property-house-vic-donnybrook-141613916,Donnybrook
67,,"18 Rosmead Street,, Craigieburn",,3,2,1,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-craigieburn-146547028,Craigieburn
68,"$640,000 - $675,000","41 HUNTINGTOWER AVE, Mickleham",,4,2,2,,262m²,Hammy,https://www.realestate.com.au/property-house-vic-mickleham-145666256,Mickleham
69,"$590,000 - $620,000","4 Madura Promenade, Mickleham",,4,2,1,,,Adrian Prestileo,https://www.realestate.com.au/property-house-vic-mickleham-146895184,Mickleham
70,"$500,000 - $550,000","91 Lemonwood Drive, Greenvale",,3,2,1,Inspection tomorrow 5:30 pm,,Jamee Favorito,https://www.realestate.com.au/property-house-vic-greenvale-147021112,Greenvale
71,"$550,000 to $590,000","8 Oxygen Street., Kalkallo",,3,2,1,Inspection Sat 25 Jan 2:30 pm,,Param Singh,https://www.realestate.com.au/property-house-vic-kalkallo-146689088,Kalkallo
72,,"3 Bentons Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 11:30 am,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-mickleham-146689012,Mickleham
73,,"4 Yasuda Way, Kalkallo",,4,2,1,,,Jayant Poonia,https://www.realestate.com.au/property-house-vic-kalkallo-146540516,Kalkallo
74,"$590,000 to $635,000","13 Dianella Avenue, Kalkallo",,4,2,2,,350m²,Prashant Battu,https://www.realestate.com.au/property-house-vic-kalkallo-146389864,Kalkallo
75,,"Address available on request, Donnybrook",,4,2,1,,,Harry Banga,https://www.realestate.com.au/property-house-vic-donnybrook-143346484,Donnybrook
76,,"69 Brossard Road, Mickleham",,3,2,1,,,Rashna Luitel,https://www.realestate.com.au/property-house-vic-mickleham-145453944,Mickleham
77,,"7 Eulinga Street, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:30 pm,262m²,Raghad Misho,https://www.realestate.com.au/property-house-vic-mickleham-147017188,Mickleham
78,,"35 Winterfell road, Donnybrook",,4,2,2,,,Shubham Banger,https://www.realestate.com.au/property-house-vic-donnybrook-146536724,Donnybrook
79,AUCTION | $630K-$660K,"6 Linden Close, Meadow Heights",,3,2,4,Inspection tomorrow 5:00 pm,690m²,Alex Briggs,https://www.realestate.com.au/property-house-vic-meadow+heights-147016864,Meadow Heights
80,"$609,000","40 Rochford Drive, Donnybrook",,4,2,2,Inspection Sat 25 Jan 1:15 pm,315m²,Damien Crivelli,https://www.realestate.com.au/property-house-vic-donnybrook-147016552,Donnybrook
81,"$539,000","6 Hawkesbury Drive, Donnybrook",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Damien Crivelli,https://www.realestate.com.au/property-house-vic-donnybrook-147016544,Donnybrook
82,"$550,000 - $600,000","7 Neon Street, Kalkallo",,3,2,1,,,Jack Esho,https://www.realestate.com.au/property-house-vic-kalkallo-145705040,Kalkallo
83,"$500,000-$550,000","2A Courtyard Way, Roxburgh Park",,3,2,1,Inspection Sat 25 Jan 10:30 am,175m²,Amin Halabi,https://www.realestate.com.au/property-house-vic-roxburgh+park-146239052,Roxburgh Park
84,,"12 The Burchett, Wollert",,3,2,1,,,Jag Kang,https://www.realestate.com.au/property-house-vic-wollert-145836864,Wollert
85,$509K - $549K /36 Latchford Dr Mickleham,"Address available on request, Mickleham",,3,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-145573164,Mickleham
86,"$580,000-$620,000","9 Rostron Way, Roxburgh Park",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Amin Khoder,https://www.realestate.com.au/property-house-vic-roxburgh+park-147015372,Roxburgh Park
87,"ASKING PRICE $575,000","7 Lion Chase, Craigieburn",,3,2,1,Inspection tomorrow 6:00 pm,262m²,Ricky Singh,https://www.realestate.com.au/property-house-vic-craigieburn-146386332,Craigieburn
88,"$590,000 - $620,000","129 Huntington Drive, Craigieburn",,4,2,2,,,Trish Orrico,https://www.realestate.com.au/property-house-vic-craigieburn-146895168,Craigieburn
89,,"Address available on request, Kalkallo",,4,2,2,,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-143204444,Kalkallo
90,,"6 Aniseed Street, Mickleham",,4,2,2,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-mickleham-146754368,Mickleham
91,Auction | $490k - $530k,"17/195 Johnstone Street, Westmeadows",,3,2,1,Inspection Sat 25 Jan 10:00 am,175m²,Dom Zampaglione,https://www.realestate.com.au/property-house-vic-westmeadows-147013980,Westmeadows
92,"$590,000 - $620,000","12 Green Hill Place, Craigieburn",,3,2,2,Inspection Sat 25 Jan 11:00 am,,Trish Orrico,https://www.realestate.com.au/property-house-vic-craigieburn-146531804,Craigieburn
93,"$560,000 - $590,000","16 Amfissa Street, Wollert",,3,2,1,Inspection Sat 25 Jan 11:30 am,,Kiranvir Buttar,https://www.realestate.com.au/property-house-vic-wollert-146384400,Wollert
94,,"8 Bracegirdle Drive, Mickleham",,4,2,2,Inspection tomorrow 6:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-mickleham-146846852,Mickleham
95,,"21 Bloodwood Street, Kalkallo",,4,3,2,Inspection tomorrow 6:00 pm,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-kalkallo-146944128,Kalkallo
96,,"5 Aniseed Street, Mickleham",,4,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-146837992,Mickleham
97,,"37 Mealie Avenue, Mickleham",,4,2,2,Inspection tomorrow 5:00 pm,,Hitendra Jodawat,https://www.realestate.com.au/property-house-vic-mickleham-146738176,Mickleham
98,,"6 Bonnyview Road, Craigieburn",,4,2,2,Inspection Sat 25 Jan 1:00 pm,,Admon Paules,https://www.realestate.com.au/property-house-vic-craigieburn-146748168,Craigieburn
99,,"15 Cream Road, Donnybrook",,4,2,2,Inspection tomorrow 7:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-donnybrook-146748716,Donnybrook
100,,"28 Caspian Drive, Craigieburn",,4,2,2,Inspection tomorrow 6:00 pm,,Ryan Gaire,https://www.realestate.com.au/property-house-vic-craigieburn-146766120,Craigieburn
101,,"25 Columbus Road, Kalkallo",,3,2,1,Inspection Sat 25 Jan 2:00 pm,,Sahib Singh,https://www.realestate.com.au/property-house-vic-kalkallo-146841376,Kalkallo
102,"$640,000-$655,000","5 Ginger Crescent, Mickleham",,4,2,2,Inspection Sat 25 Jan 12:00 pm,350m²,James Farrugia,https://www.realestate.com.au/property-house-vic-mickleham-146530296,Mickleham
103,,"Address available on request, Kalkallo",,4,2,2,,,Robin Dhalla,https://www.realestate.com.au/property-house-vic-kalkallo-145570344,Kalkallo
104,"ESR: $640,000 To $690,000","6 Edgedell Avenue, Kalkallo",,4,2,2,,350m²,Nitin Batra,https://www.realestate.com.au/property-house-vic-kalkallo-144213648,Kalkallo
105,,"7 Mensa Court, Roxburgh Park",,3,2,1,,416m²,Omer Khoder,https://www.realestate.com.au/property-house-vic-roxburgh+park-143201696,Roxburgh Park
106,,"Address available on request, Donnybrook",,3,2,2,,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-145322164,Donnybrook
107,"Private Sale $640,000 - $670,000","9 Davis Circuit, Wollert",,4,2,2,,,Nitin Rana,https://www.realestate.com.au/property-house-vic-wollert-146382056,Wollert
108,"$630,000 - $680,000","10 Galvin Ct, Meadow Heights",,5,3,2,,771m²,Mohammed El Hawli,https://www.realestate.com.au/property-house-vic-meadow+heights-146879720,Meadow Heights
109,,"41 Kilarnie Boulevard, Wollert",,4,2,2,Inspection tomorrow 5:00 pm,,Bikram Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146793660,Wollert
110,"$600,000 - $640,000","17 Cream Road, Donnybrook",,4,2,2,Inspection tomorrow 6:15 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146676424,Donnybrook
111,,"Address available on request, Mickleham",,3,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-140638363,Mickleham
112,,"5 Yumbarra Parade, Wollert",,3,2,1,,336m²,Pir Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146673504,Wollert
113,"Private Sale-$580,000-$610,000","14 REMINIS DRIVE, Donnybrook",,3,2,1,Inspection Sat 25 Jan 1:15 pm,,Prabhjot Singh,https://www.realestate.com.au/property-house-vic-donnybrook-147012940,Donnybrook
114,"$570,000 - $595,000","202 Brossard Road, Mickleham",,3,2,2,Inspection Sun 2 Feb 12:00 pm,251m²,Ash Daga,https://www.realestate.com.au/property-house-vic-mickleham-146789472,Mickleham
115,"$649,000","6 Messina Street, Mernda",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Sugath Warnasuriya,https://www.realestate.com.au/property-house-vic-mernda-146788896,Mernda
116,,"14 Boglis Avenue, Wollert",,4,2,1,,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-wollert-145962336,Wollert
117,"$530,000 - $570,000","Address available on request, Kalkallo",,3,2,2,,,Pir Sidhu,https://www.realestate.com.au/property-house-vic-kalkallo-143329292,Kalkallo
118,$650 K (Brand new Craigieburn side),"20 Wallowa Street, Mickleham",,4,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-144589408,Mickleham
119,,"29 Goadby Drive, Mernda",,4,2,2,Inspection tomorrow 6:00 pm,384m²,Nick Pradhan,https://www.realestate.com.au/property-house-vic-mernda-146668180,Mernda
120,,"100 Schotters Road, Mernda",,4,3,2,,,Sash Buncic,https://www.realestate.com.au/property-house-vic-mernda-146786844,Mernda
121,"$600,000 - $660,000","4 Solar Way, Mickleham",,3,2,2,,,Khaled Khaled,https://www.realestate.com.au/property-house-vic-mickleham-146373364,Mickleham
122,,"27 Sunridge Drive, Mernda",,3,2,2,Inspection Sat 25 Jan 4:30 pm,,Om Minhas,https://www.realestate.com.au/property-house-vic-mernda-146522892,Mernda
123,,"Address available on request, Kalkallo",,3,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-kalkallo-142592332,Kalkallo
124,,"1 Bracegirdle Drive, Mickleham",,4,2,2,,,Rajinder Joshan,https://www.realestate.com.au/property-house-vic-mickleham-146659424,Mickleham
125,"$650,000-$700,000","41 Brock Street, Thomastown",,3,2,2,Inspection tomorrow 6:00 pm,688m²,Darren Lambert,https://www.realestate.com.au/property-house-vic-thomastown-146785496,Thomastown
126,,"12 Bounty Road, Donnybrook",,4,2,2,Inspection Sat 25 Jan 10:30 am,,Shubham Banger,https://www.realestate.com.au/property-house-vic-donnybrook-146521760,Donnybrook
127,"$590,000 - $635,000","10/5 Korab Place, Roxburgh Park",,3,3,2,,232m²,Onel Hawil,https://www.realestate.com.au/property-house-vic-roxburgh+park-145958156,Roxburgh Park
128,,"5 Pittsburgh Rd, Kalkallo",,4,3,1,,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-141941588,Kalkallo
129,"$590,000 - $630,000","19 Limpopa Square, Roxburgh Park",,3,2,1,,,,https://www.realestate.com.au/property-house-vic-roxburgh+park-145685992,Roxburgh Park
130,"$650,000 - $690,000","25 Erasmus Avenue, Craigieburn",,3,2,2,Inspection Sat 25 Jan 1:45 pm,,Omer Koksal,https://www.realestate.com.au/property-house-vic-craigieburn-146098072,Craigieburn
131,"$650,000- $700,000","41 Eastside Boulevard, Donnybrook",,4,2,2,,350m²,Nitin Rana,https://www.realestate.com.au/property-house-vic-donnybrook-146519464,Donnybrook
132,,"18 Nasturium Street, Kalkallo",,4,2,2,Inspection Sat 25 Jan 11:15 am,312m²,Usman Maan,https://www.realestate.com.au/property-house-vic-kalkallo-146663500,Kalkallo
133,"$570,000 - $610,000","27 Bentham Street, Roxburgh Park",,4,2,2,,,Evan Yousif,https://www.realestate.com.au/property-house-vic-roxburgh+park-145816712,Roxburgh Park
134,,"44 Nasturium Street, Kalkallo",,4,2,1,Inspection Sat 25 Jan 10:00 am,,Maaz Awais,https://www.realestate.com.au/property-house-vic-kalkallo-146907492,Kalkallo
135,"$600,000 - $660,000","12 Troidini Entrance, Mickleham",,4,2,1,Inspection tomorrow 5:30 pm,,Manar Dindo,https://www.realestate.com.au/property-house-vic-mickleham-146782596,Mickleham
136,,"12 Millennium Road, Craigieburn",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-craigieburn-146660396,Craigieburn
137,"Private Sale-$630,000-$670,000","29 Ironwood Rd, Mickleham",,4,2,2,Inspection tomorrow 6:15 pm,221m²,Prabhjot Singh,https://www.realestate.com.au/property-house-vic-mickleham-146780168,Mickleham
138,,"248 Toyon Road, Donnybrook",,4,2,2,Inspection tomorrow 6:15 pm,312m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-146779848,Donnybrook
139,,"Address available on request, Donnybrook",,4,2,2,,,Chetan Chauhan,https://www.realestate.com.au/property-house-vic-donnybrook-145553048,Donnybrook
140,,"Address available on request, Craigieburn",,4,2,1,,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-craigieburn-141936944,Craigieburn
141,"$520,000 - $550,000","23 Boomerang Road, Donnybrook",,3,2,1,Inspection Sat 25 Jan 11:00 am,,Omar Morsi,https://www.realestate.com.au/property-house-vic-donnybrook-146513024,Donnybrook
142,Architectural Masterpiece with 5.4m Ceilings,"12 Aniseed Street, Mickleham",,4,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-146777612,Mickleham
143,"$550,000 - $605,000","18 Clapham Avenue, Wollert",,3,2,2,,,Con Tsalkos,https://www.realestate.com.au/property-house-vic-wollert-146777472,Wollert
144,,"37 Yorkville Road, Kalkallo",,4,2,2,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-kalkallo-146655856,Kalkallo
145,,"24 Ironcap Road, Mickleham",,4,3,2,,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-mickleham-146510404,Mickleham
146,,"41 Bowenia Avenue, Craigieburn",,3,2,1,,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-craigieburn-146510388,Craigieburn
147,"$640,000 - $660,000","10 Edgedell Avenue, Kalkallo",,4,2,2,,374m²,Joe Sortino,https://www.realestate.com.au/property-house-vic-kalkallo-146654152,Kalkallo
148,"$630,000 - $690,000","10 Strickland Avenue, Mill Park",,3,2,2,Inspection tomorrow 6:30 pm,573m²,John Gioftsidis,https://www.realestate.com.au/property-house-vic-mill+park-147010852,Mill Park
149,"$630,000 - $660,000","4 Jum Way, Donnybrook",,4,2,2,,312.51m²,Karam Virk,https://www.realestate.com.au/property-house-vic-donnybrook-146233988,Donnybrook
150,,"5 Tucholsky Drive, Kalkallo",,3,2,1,,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-145675168,Kalkallo
151,,"38 Bank Street, Wollert",,3,2,1,Inspection Sat 25 Jan 12:00 pm,,Dave Singh,https://www.realestate.com.au/property-house-vic-wollert-147009852,Wollert
152,$630k - $660k,"44 Upthorpe Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 11:45 am,407m²,Jatin Mehta,https://www.realestate.com.au/property-house-vic-mickleham-146905156,Mickleham
153,,"70 Quill Circuit, Kalkallo",,4,2,2,Inspection tomorrow 5:30 pm,,Aman Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-146863428,Kalkallo
