Price,Address,Property Type,Beds,Baths,Car,Inspection Time,Area,Agent,RE_URL,Status
,"Address available on request, Kalkallo",,4,2,2,,,Robin Dhalla,https://www.realestate.com.au/property-house-vic-kalkallo-145570344,Unchanged
"ESR: $640,000 To $690,000","6 Edgedell Avenue, Kalkallo",,4,2,2,,350m²,Nitin Batra,https://www.realestate.com.au/property-house-vic-kalkallo-144213648,Unchanged
,"7 Mensa Court, Roxburgh Park",,3,2,1,,416m²,Omer Khoder,https://www.realestate.com.au/property-house-vic-roxburgh+park-143201696,Unchanged
,"Address available on request, Donnybrook",,3,2,2,,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-145322164,Unchanged
"Private Sale $640,000 - $670,000","9 Davis Circuit, Wollert",,4,2,2,,,Nitin Rana,https://www.realestate.com.au/property-house-vic-wollert-146382056,Unchanged
"$630,000 - $680,000","10 Galvin Ct, Meadow Heights",,5,3,2,,771m²,Mohammed El Hawli,https://www.realestate.com.au/property-house-vic-meadow+heights-146879720,Deleted
,"41 Kilarnie Boulevard, Wollert",,4,2,2,Inspection tomorrow 5:00 pm,,Bikram Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146793660,Unchanged
"$600,000 - $640,000","17 Cream Road, Donnybrook",,4,2,2,Inspection tomorrow 6:15 pm,,Love Sharma,https://www.realestate.com.au/property-house-vic-donnybrook-146676424,Deleted
,"Address available on request, Mickleham",,3,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-140638363,Unchanged
,"5 Yumbarra Parade, Wollert",,3,2,1,,336m²,Pir Sidhu,https://www.realestate.com.au/property-house-vic-wollert-146673504,Unchanged
"Private Sale-$580,000-$610,000","14 REMINIS DRIVE, Donnybrook",,3,2,1,Inspection Sat 25 Jan 1:15 pm,,Prabhjot Singh,https://www.realestate.com.au/property-house-vic-donnybrook-147012940,Unchanged
"$570,000 - $595,000","202 Brossard Road, Mickleham",,3,2,2,Inspection Sun 2 Feb 12:00 pm,251m²,Ash Daga,https://www.realestate.com.au/property-house-vic-mickleham-146789472,Unchanged
"$649,000","6 Messina Street, Mernda",,3,2,1,Inspection Sat 25 Jan 10:00 am,,Sugath Warnasuriya,https://www.realestate.com.au/property-house-vic-mernda-146788896,Unchanged
,"14 Boglis Avenue, Wollert",,4,2,1,,,Ola Alsalemy,https://www.realestate.com.au/property-house-vic-wollert-145962336,Deleted
"$530,000 - $570,000","Address available on request, Kalkallo",,3,2,2,,,Pir Sidhu,https://www.realestate.com.au/property-house-vic-kalkallo-143329292,Unchanged
$650 K (Brand new Craigieburn side),"20 Wallowa Street, Mickleham",,4,2,1,,,Pardeep Kumar,https://www.realestate.com.au/property-house-vic-mickleham-144589408,Unchanged
,"29 Goadby Drive, Mernda",,4,2,2,Inspection tomorrow 6:00 pm,384m²,Nick Pradhan,https://www.realestate.com.au/property-house-vic-mernda-146668180,Unchanged
,"100 Schotters Road, Mernda",,4,3,2,,,Sash Buncic,https://www.realestate.com.au/property-house-vic-mernda-146786844,Unchanged
"$600,000 - $660,000","4 Solar Way, Mickleham",,3,2,2,,,Khaled Khaled,https://www.realestate.com.au/property-house-vic-mickleham-146373364,Deleted
,"27 Sunridge Drive, Mernda",,3,2,2,Inspection Sat 25 Jan 4:30 pm,,Om Minhas,https://www.realestate.com.au/property-house-vic-mernda-146522892,Unchanged
,"Address available on request, Kalkallo",,3,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-kalkallo-142592332,Unchanged
,"1 Bracegirdle Drive, Mickleham",,4,2,2,,,Rajinder Joshan,https://www.realestate.com.au/property-house-vic-mickleham-146659424,Unchanged
"$650,000-$700,000","41 Brock Street, Thomastown",,3,2,2,Inspection tomorrow 6:00 pm,688m²,Darren Lambert,https://www.realestate.com.au/property-house-vic-thomastown-146785496,Unchanged
,"12 Bounty Road, Donnybrook",,4,2,2,Inspection Sat 25 Jan 10:30 am,,Shubham Banger,https://www.realestate.com.au/property-house-vic-donnybrook-146521760,Unchanged
"$590,000 - $635,000","10/5 Korab Place, Roxburgh Park",,3,3,2,,232m²,Onel Hawil,https://www.realestate.com.au/property-house-vic-roxburgh+park-145958156,Unchanged
,"5 Pittsburgh Rd, Kalkallo",,4,3,1,,,Aayush Sharma,https://www.realestate.com.au/property-house-vic-kalkallo-141941588,Unchanged
"$590,000 - $630,000","19 Limpopa Square, Roxburgh Park",,3,2,1,,,,https://www.realestate.com.au/property-house-vic-roxburgh+park-145685992,Unchanged
"$650,000 - $690,000","25 Erasmus Avenue, Craigieburn",,3,2,2,Inspection Sat 25 Jan 1:45 pm,,Omer Koksal,https://www.realestate.com.au/property-house-vic-craigieburn-146098072,Unchanged
"$650,000- $700,000","41 Eastside Boulevard, Donnybrook",,4,2,2,,350m²,Nitin Rana,https://www.realestate.com.au/property-house-vic-donnybrook-146519464,Unchanged
,"18 Nasturium Street, Kalkallo",,4,2,2,Inspection Sat 25 Jan 11:15 am,312m²,Usman Maan,https://www.realestate.com.au/property-house-vic-kalkallo-146663500,Unchanged
"$570,000 - $610,000","27 Bentham Street, Roxburgh Park",,4,2,2,,,Evan Yousif,https://www.realestate.com.au/property-house-vic-roxburgh+park-145816712,Unchanged
,"44 Nasturium Street, Kalkallo",,4,2,1,Inspection Sat 25 Jan 10:00 am,,Maaz Awais,https://www.realestate.com.au/property-house-vic-kalkallo-146907492,Unchanged
"$600,000 - $660,000","12 Troidini Entrance, Mickleham",,4,2,1,Inspection tomorrow 5:30 pm,,Manar Dindo,https://www.realestate.com.au/property-house-vic-mickleham-146782596,Unchanged
,"12 Millennium Road, Craigieburn",,3,2,2,Inspection Sat 25 Jan 2:00 pm,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-craigieburn-146660396,Unchanged
"Private Sale-$630,000-$670,000","29 Ironwood Rd, Mickleham",,4,2,2,Inspection tomorrow 6:15 pm,221m²,Prabhjot Singh,https://www.realestate.com.au/property-house-vic-mickleham-146780168,Unchanged
,"248 Toyon Road, Donnybrook",,4,2,2,Inspection tomorrow 6:15 pm,312m²,Arvin Nagra,https://www.realestate.com.au/property-house-vic-donnybrook-146779848,Unchanged
,"Address available on request, Donnybrook",,4,2,2,,,Chetan Chauhan,https://www.realestate.com.au/property-house-vic-donnybrook-145553048,Unchanged
,"Address available on request, Craigieburn",,4,2,1,,,Jessica Kaur,https://www.realestate.com.au/property-house-vic-craigieburn-141936944,Unchanged
"$520,000 - $550,000","23 Boomerang Road, Donnybrook",,3,2,1,Inspection Sat 25 Jan 11:00 am,,Omar Morsi,https://www.realestate.com.au/property-house-vic-donnybrook-146513024,Unchanged
Architectural Masterpiece with 5.4m Ceilings,"12 Aniseed Street, Mickleham",,4,2,2,,,Moe Al-mnahi,https://www.realestate.com.au/property-house-vic-mickleham-146777612,Unchanged
"$550,000 - $605,000","18 Clapham Avenue, Wollert",,3,2,2,,,Con Tsalkos,https://www.realestate.com.au/property-house-vic-wollert-146777472,Unchanged
,"37 Yorkville Road, Kalkallo",,4,2,2,,,Ali Al Saffar,https://www.realestate.com.au/property-house-vic-kalkallo-146655856,Unchanged
,"24 Ironcap Road, Mickleham",,4,3,2,,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-mickleham-146510404,Unchanged
,"41 Bowenia Avenue, Craigieburn",,3,2,1,,,Abeer Al-hatab,https://www.realestate.com.au/property-house-vic-craigieburn-146510388,Unchanged
"$640,000 - $660,000","10 Edgedell Avenue, Kalkallo",,4,2,2,,374m²,Joe Sortino,https://www.realestate.com.au/property-house-vic-kalkallo-146654152,Unchanged
"$630,000 - $690,000","10 Strickland Avenue, Mill Park",,3,2,2,Inspection tomorrow 6:30 pm,573m²,John Gioftsidis,https://www.realestate.com.au/property-house-vic-mill+park-147010852,Unchanged
"$630,000 - $660,000","4 Jum Way, Donnybrook",,4,2,2,,312.51m²,Karam Virk,https://www.realestate.com.au/property-house-vic-donnybrook-146233988,Unchanged
,"5 Tucholsky Drive, Kalkallo",,3,2,1,,,Arvin Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-145675168,Unchanged
,"38 Bank Street, Wollert",,3,2,1,Inspection Sat 25 Jan 12:00 pm,,Dave Singh,https://www.realestate.com.au/property-house-vic-wollert-147009852,Unchanged
$630k - $660k,"44 Upthorpe Way, Mickleham",,4,2,2,Inspection Sat 25 Jan 11:45 am,407m²,Jatin Mehta,https://www.realestate.com.au/property-house-vic-mickleham-146905156,Deleted
,"70 Quill Circuit, Kalkallo",,4,2,2,Inspection tomorrow 5:30 pm,,Aman Nagra,https://www.realestate.com.au/property-house-vic-kalkallo-146863428,Unchanged
,"56 Eynesbury View, Wollert",,3,2,2,,375m²,Mike Assaad,https://www.realestate.com.au/property-house-vic-wollert-146862944,Deleted
,"3 Suffern Street, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,,Harry Banga,https://www.realestate.com.au/property-house-vic-donnybrook-146649800,Unchanged
"$640,000 - $680,000","36 Samolus Street, Mickleham",,4,2,2,,,Mickey (Sween) Arya,https://www.realestate.com.au/property-house-vic-mickleham-146649164,Unchanged
"$600,000 - $660,000","67 Molesworth Crescent, Donnybrook",,4,2,2,Inspection tomorrow 6:00 pm,,Sharukh Shaik,https://www.realestate.com.au/property-house-vic-donnybrook-146649380,Unchanged
,"10 Tatlow Drive, Epping",,3,2,2,Inspection Sat 25 Jan 10:00 am,542m²,Mario Tucci,https://www.realestate.com.au/property-house-vic-epping-147006448,Unchanged
